Prim num,surface_type,id,N[0],N[1],N[2],child_srf,parent_index,pgon_id,irr_kwh_yr,CTR[0],CTR[1],CTR[2],area,
0,Wall,B-1_2_LoD0_LoD1_LoD2_492,-0.835491895676,-0.54950094223,0.00134936277755,0,0,RCID_a8b282ed-f3d4-42b1-bbbc-ca8229390d86,13.377579689,88825.265625,442662.34375,-4.04156255722,6.24222040176,
1,Wall,B-1_2_LoD0_LoD1_LoD2_492,-0.894427239895,-0.447213619947,0.0,1,0,RCID_a8b282ed-f3d4-42b1-bbbc-ca8229390d86,380.262695312,88824.625,442663.34375,-4.70030164719,0.081830188632,
2,Wall,B-1_2_LoD0_LoD1_LoD2_492,-0.538898825645,0.842329442501,0.00830702856183,0,1,RCID_b05af70a-a54b-4b19-b5b4-40dd580e2be8,307.78414917,88826.7265625,442664.71875,-4.17760562897,6.24532318115,
3,Wall,B-1_2_LoD0_LoD1_LoD2_492,-0.522381901741,0.852711558342,0.0,1,1,RCID_b05af70a-a54b-4b19-b5b4-40dd580e2be8,304.090332031,88825.03125,442663.625,-3.13896989822,0.000108382315375,
4,Wall,B-1_2_LoD0_LoD1_LoD2_492,-0.540232419968,0.841515898705,-0.0,2,1,RCID_b05af70a-a54b-4b19-b5b4-40dd580e2be8,306.186828613,88826.3125,442664.46875,-3.13372135162,0.000136617964017,
5,Wall,B-1_2_LoD0_LoD1_LoD2_492,-0.537360131741,0.843350410461,0.00201429380104,3,1,RCID_b05af70a-a54b-4b19-b5b4-40dd580e2be8,306.286651611,88825.0234375,442663.625,-4.18110704422,2.182076931,
6,Wall,B-1_2_LoD0_LoD1_LoD2_492,0.82248044014,0.568793296814,0.0,0,2,RCID_25f0509f-67cf-480c-832a-c3410854c297,431.976013184,88828.84375,442664.34375,-3.0369758606,0.00858469959348,
7,Wall,B-1_2_LoD0_LoD1_LoD2_492,0.894427239895,0.447213619947,0.0,1,2,RCID_25f0509f-67cf-480c-832a-c3410854c297,304.090332031,88828.03125,442665.5625,-4.87176418304,0.03660736233,
8,Wall,B-1_2_LoD0_LoD1_LoD2_492,0.824064075947,0.566487014294,-0.00329469447024,2,2,RCID_25f0509f-67cf-480c-832a-c3410854c297,341.028442383,88828.6953125,442664.59375,-4.13791656494,6.37283086777,
9,Wall,B-1_2_LoD0_LoD1_LoD2_492,0.624697208405,-0.780864179134,-0.00214650784619,0,3,RCID_fc9b282a-129f-405e-9056-bff2e2b5ef33,1060.62243652,88829.6484375,442663.125,-4.08626461029,0.116012863815,
10,Wall,B-1_2_LoD0_LoD1_LoD2_492,0.0,0.0,0.0,1,3,RCID_fc9b282a-129f-405e-9056-bff2e2b5ef33,1134.39880371,88827.125,442661.4375,-2.9598493576,0.0,
11,Wall,B-1_2_LoD0_LoD1_LoD2_492,0.552293121815,-0.833649992943,0.0,2,3,RCID_fc9b282a-129f-405e-9056-bff2e2b5ef33,1102.95153809,88828.375,442662.28125,-2.95465302467,0.00036607182119,
12,Wall,B-1_2_LoD0_LoD1_LoD2_492,0.496138930321,-0.868243098259,0.0,3,3,RCID_fc9b282a-129f-405e-9056-bff2e2b5ef33,1101.75354004,88829.65625,442663.125,-2.9493689537,7.68876816437e-06,
13,Wall,B-1_2_LoD0_LoD1_LoD2_492,0.0,-1.0,0.0,4,3,RCID_fc9b282a-129f-405e-9056-bff2e2b5ef33,1109.54040527,88827.125,442661.4375,-4.09152889252,0.0265227816999,
14,Wall,B-1_2_LoD0_LoD1_LoD2_492,0.552289366722,-0.833650290966,0.00190210039727,5,3,RCID_fc9b282a-129f-405e-9056-bff2e2b5ef33,1090.47241211,88828.375,442662.28125,-4.08892345428,6.80271816254,
15,Wall,B-1_2_LoD0_LoD1_LoD2_492,0.499298661947,-0.86642998457,0.0,0,3,RCID_e5d03539-e249-49d5-867a-9ae6761fcd8c,1097.2611084,88826.625,442661.1875,-4.09249401093,2.40616750717,
16,Roof,B-1_2_LoD0_LoD1_LoD2_492,-0.0354429110885,0.0482323691249,0.998207092285,0,5,RCID_8e2c2d5d-16c4-48ef-947f-9d7caf41fd24,1238.82373047,88826.7578125,442662.65625,-3.03061699867,8.81348991394,
17,Roof,B-1_2_LoD0_LoD1_LoD2_492,-0.0358381420374,0.0488896295428,0.998161077499,1,5,RCID_8e2c2d5d-16c4-48ef-947f-9d7caf41fd24,1227.9420166,88828.3671875,442664.03125,-3.04019927979,3.04661917686,
