Prim num,surface_type,id,N[0],N[1],N[2],child_srf,parent_index,pgon_id,irr_kwh_yr,CTR[0],CTR[1],CTR[2],area,
0,Wall,B-1_1_LoD0_LoD1_LoD2_50,-0.90327745676,-0.429056793451,0.0,0,0,RCID_8381bf19-0b2d-4ff7-9bb9-67257b70ec2b,2.99498057365,87590.9453125,441869.59375,-1.37347960472,4.15154790878,
1,Wall,B-1_1_LoD0_LoD1_LoD2_50,-0.89442718029,-0.447213590145,0.0,1,0,RCID_8381bf19-0b2d-4ff7-9bb9-67257b70ec2b,496.36807251,87590.640625,441870.25,0.759096264839,0.044202581048,
2,Wall,B-1_1_LoD0_LoD1_LoD2_50,-0.894427120686,-0.447213560343,0.0,2,0,RCID_8381bf19-0b2d-4ff7-9bb9-67257b70ec2b,3.09481334686,87590.640625,441870.25,-1.37347960472,0.104815676808,
3,Wall,B-1_1_LoD0_LoD1_LoD2_50,-0.903277516365,-0.429056793451,0.0,3,0,RCID_8381bf19-0b2d-4ff7-9bb9-67257b70ec2b,476.102081299,87590.9453125,441869.59375,0.759096264839,1.75077939034,
4,Wall,B-1_1_LoD0_LoD1_LoD2_50,-0.496138930321,0.868243098259,0.0,0,1,RCID_6102943d-7e14-453e-93ac-e0d4f575f25e,116.205238342,87593.3828125,441871.5,-0.108327865601,0.188959151506,
5,Wall,B-1_1_LoD0_LoD1_LoD2_50,-0.416744381189,0.90902364254,0.0,1,1,RCID_6102943d-7e14-453e-93ac-e0d4f575f25e,38.735080719,87592.0,441870.875,-2.24090337753,3.79474687576,
6,Wall,B-1_1_LoD0_LoD1_LoD2_50,-0.416744410992,0.909023702145,0.0,2,1,RCID_6102943d-7e14-453e-93ac-e0d4f575f25e,94.7412109375,87592.0,441870.875,-0.108327865601,8.99832057953,
7,Wall,B-1_1_LoD0_LoD1_LoD2_50,-0.496138930321,0.868243157864,0.0,3,1,RCID_6102943d-7e14-453e-93ac-e0d4f575f25e,57.9029541016,87593.3828125,441871.5,-2.24090337753,0.0796873345971,
8,Wall,B-1_1_LoD0_LoD1_LoD2_50,0.896657586098,0.442724704742,0.0,0,2,RCID_a66c6cc0-1e18-40d5-9f66-110dc9ada9c7,120.498054504,87593.71875,441870.875,-0.108327865601,4.18219804764,
9,Wall,B-1_1_LoD0_LoD1_LoD2_50,0.896657586098,0.44272467494,0.0,1,2,RCID_a66c6cc0-1e18-40d5-9f66-110dc9ada9c7,83.1606292725,87593.71875,441870.875,-2.24090337753,1.76370501518,
10,Wall,B-1_1_LoD0_LoD1_LoD2_50,0.707106769085,-0.707106769085,0.0,0,3,RCID_69ccbf19-a2a9-499c-893f-c6674813f6fa,0.199665367603,87593.984375,441870.25,-1.37347960472,0.132582515478,
11,Wall,B-1_1_LoD0_LoD1_LoD2_50,0.0,-1.0,0.0,1,3,RCID_69ccbf19-a2a9-499c-893f-c6674813f6fa,0.0,87591.25,441868.9375,0.759096264839,0.0395359918475,
12,Wall,B-1_1_LoD0_LoD1_LoD2_50,0.0,-1.0,0.0,2,3,RCID_69ccbf19-a2a9-499c-893f-c6674813f6fa,0.0,87591.25,441868.9375,-1.37347960472,0.0937499925494,
13,Wall,B-1_1_LoD0_LoD1_LoD2_50,0.428310900927,-0.90363150835,0.0,3,3,RCID_69ccbf19-a2a9-499c-893f-c6674813f6fa,0.0,87592.6171875,441869.5625,0.759096264839,3.78457760811,
14,Wall,B-1_1_LoD0_LoD1_LoD2_50,0.428310871124,-0.903631448746,0.0,4,3,RCID_69ccbf19-a2a9-499c-893f-c6674813f6fa,0.0,87592.6171875,441869.5625,-1.37347960472,8.97420501709,
15,Wall,B-1_1_LoD0_LoD1_LoD2_50,0.70710682869,-0.70710682869,0.0,5,3,RCID_69ccbf19-a2a9-499c-893f-c6674813f6fa,0.399330735207,87593.984375,441870.25,0.759096264839,0.0559123344719,
16,Roof,B-1_1_LoD0_LoD1_LoD2_50,0.0,0.0,1.0,0,4,RCID_1e667773-253d-4379-971b-9b967e56e9e5,1106.8449707,87592.3515625,441870.25,1.39167189598,4.10766601562,
17,Roof,B-1_1_LoD0_LoD1_LoD2_50,0.0,0.0,1.0,1,4,RCID_1e667773-253d-4379-971b-9b967e56e9e5,1077.69384766,87590.9765625,441869.625,1.39167189598,0.08154296875,
