Prim num,surface_type,id,N[0],N[1],N[2],child_srf,parent_index,pgon_id,irr_kwh_yr,CTR[0],CTR[1],CTR[2],area,
0,Roof,B-1_2_LoD0_LoD1_LoD2_481,-0.0890140458941,-0.0841550081968,0.992468893528,0,0,RCID_1802502b-056b-4611-a4fe-043bf8d8f02f,1355.2286377,88751.7578125,442455.65625,-2.05340385437,0.694686949253,
1,Roof,B-1_2_LoD0_LoD1_LoD2_481,-0.0859620422125,-0.0864201709628,0.99254322052,1,0,RCID_1802502b-056b-4611-a4fe-043bf8d8f02f,1364.91247559,88744.4296875,442465.6875,-1.85218000412,0.0662902072072,
2,Roof,B-1_2_LoD0_LoD1_LoD2_481,-0.0877438634634,-0.0845638439059,0.992547154427,2,0,RCID_1802502b-056b-4611-a4fe-043bf8d8f02f,1364.61291504,88745.828125,442464.90625,-1.79141438007,8.98603820801,
3,Roof,B-1_2_LoD0_LoD1_LoD2_481,-0.0885137915611,-0.0840836539865,0.99251973629,3,0,RCID_1802502b-056b-4611-a4fe-043bf8d8f02f,1356.3269043,88747.90625,442462.75,-1.79175543785,9.0540561676,
4,Roof,B-1_2_LoD0_LoD1_LoD2_481,-0.0880661830306,-0.0848694518209,0.992492556572,4,0,RCID_1802502b-056b-4611-a4fe-043bf8d8f02f,1356.1270752,88749.9765625,442460.5625,-1.79209148884,8.98653316498,
5,Roof,B-1_2_LoD0_LoD1_LoD2_481,-0.0882238969207,-0.085018992424,0.992465734482,5,0,RCID_1802502b-056b-4611-a4fe-043bf8d8f02f,1354.52990723,88752.0546875,442458.40625,-1.79242289066,8.98677635193,
6,Roof,B-1_2_LoD0_LoD1_LoD2_481,-0.0894800722599,-0.0836371555924,0.992470800877,6,0,RCID_1802502b-056b-4611-a4fe-043bf8d8f02f,1354.52990723,88753.3125,442457.09375,-1.79261636734,1.92858505249,
7,Roof,B-1_2_LoD0_LoD1_LoD2_481,-0.0972469076514,-0.0741000324488,0.992497980595,7,0,RCID_1802502b-056b-4611-a4fe-043bf8d8f02f,1361.31848145,88743.296875,442464.625,-2.04263901711,0.0656839236617,
8,Roof,B-1_2_LoD0_LoD1_LoD2_481,-0.0869749411941,-0.0837986394763,0.992679834366,8,0,RCID_1802502b-056b-4611-a4fe-043bf8d8f02f,1361.31848145,88744.34375,442463.5,-2.04398322105,3.45042872429,
9,Roof,B-1_2_LoD0_LoD1_LoD2_481,-0.0877285003662,-0.084064938128,0.992591023445,9,0,RCID_1802502b-056b-4611-a4fe-043bf8d8f02f,1356.8260498,88746.40625,442461.3125,-2.04661464691,3.54236006737,
