Prim num,surface_type,id,N[0],N[1],N[2],child_srf,parent_index,pgon_id,irr_kwh_yr,CTR[0],CTR[1],CTR[2],area,
0,Roof,B-1_2_LoD0_LoD1_LoD2_395,-0.157895505428,-0.0989392772317,0.982486665249,0,0,RCID_8e842113-6a73-4785-8ee6-9d759f932e06,1377.09204102,90731.6640625,441382.25,-2.45963168144,5.31749391556,
1,Roof,B-1_2_LoD0_LoD1_LoD2_395,-0.157277360559,-0.0992802083492,0.982551395893,1,0,RCID_8e842113-6a73-4785-8ee6-9d759f932e06,1357.02563477,90730.078125,441384.78125,-2.45960354805,5.33838701248,
2,Roof,B-1_2_LoD0_LoD1_LoD2_395,-0.157920062542,-0.099872238934,0.982388317585,2,0,RCID_8e842113-6a73-4785-8ee6-9d759f932e06,1359.12207031,90729.1875,441386.15625,-2.45958781242,0.557924211025,
3,Wall,B-1_2_LoD0_LoD1_LoD2_395,0.846232771873,0.532813251019,0.0,0,1,RCID_c3275608-edd3-46e4-8e75-a25d048ff3bc,489.779144287,90734.3828125,441384.0,-3.92544674873,7.28484535217,
4,Wall,B-1_2_LoD0_LoD1_LoD2_395,0.850320398808,0.526265382767,0.0,1,1,RCID_c3275608-edd3-46e4-8e75-a25d048ff3bc,492.774108887,90732.796875,441386.5625,-3.92678976059,7.33125591278,
5,Wall,B-1_2_LoD0_LoD1_LoD2_395,0.847998201847,0.529998958111,0.0,2,1,RCID_c3275608-edd3-46e4-8e75-a25d048ff3bc,500.461242676,90731.9375,441387.9375,-3.92751026154,0.537584424019,
6,Wall,B-1_2_LoD0_LoD1_LoD2_395,0.548341155052,-0.836244225502,-0.00418819393963,0,2,RCID_e7b24395-4b96-4965-a930-2ff08549f81f,1013.60125732,90733.7734375,441381.8125,-3.53634619713,7.92856931686,
7,Wall,B-1_2_LoD0_LoD1_LoD2_395,0.548784613609,-0.835962116718,-0.00163098226767,1,2,RCID_e7b24395-4b96-4965-a930-2ff08549f81f,1035.06530762,90732.1796875,441380.78125,-3.82868266106,3.14349651337,
8,Wall,B-1_2_LoD0_LoD1_LoD2_395,-0.84269618988,-0.538389265537,0.0,0,3,RCID_eae196e4-94af-4c4e-95cc-9df0007214bf,935.23260498,90731.625,441380.5625,-3.88532042503,0.83960878849,
9,Wall,B-1_2_LoD0_LoD1_LoD2_395,-0.846232831478,-0.532813310623,0.0,1,3,RCID_eae196e4-94af-4c4e-95cc-9df0007214bf,942.021240234,90729.140625,441384.5625,-3.88529777527,7.5250287056,
10,Wall,B-1_2_LoD0_LoD1_LoD2_395,-0.847998321056,-0.529998958111,0.0,2,3,RCID_eae196e4-94af-4c4e-95cc-9df0007214bf,931.339050293,90730.734375,441382.0,-3.8853123188,7.60198640823,
11,Wall,B-1_2_LoD0_LoD1_LoD2_395,-0.531092524529,0.847310304642,0.00247757229954,0,4,RCID_de9be9db-d48c-40b2-9b35-d7b6b448e5b4,391.344116211,90729.6640625,441386.65625,-3.542137146,8.12979698181,
12,Wall,B-1_2_LoD0_LoD1_LoD2_395,-0.538929104805,0.842349469662,0.00166168028954,1,4,RCID_de9be9db-d48c-40b2-9b35-d7b6b448e5b4,378.266052246,90731.375,441387.71875,-3.87619352341,2.93847894669,
13,Roof,B-1_2_LoD0_LoD1_LoD2_395,0.157340183854,0.0790231153369,0.984377741814,0,5,RCID_478fe4d4-43d7-43f6-83d7-23c7b314a86b,980.656433105,90733.4296875,441381.59375,-2.33406043053,0.0136408358812,
14,Roof,B-1_2_LoD0_LoD1_LoD2_395,0.313079714775,0.198496028781,0.92875212431,1,5,RCID_478fe4d4-43d7-43f6-83d7-23c7b314a86b,993.63470459,90732.40625,441382.6875,-2.28810954094,0.0106716742739,
15,Roof,B-1_2_LoD0_LoD1_LoD2_395,0.239173769951,0.151248812675,0.959124445915,2,5,RCID_478fe4d4-43d7-43f6-83d7-23c7b314a86b,1161.3536377,90730.796875,441385.25,-2.28789758682,0.0412927828729,
16,Roof,B-1_2_LoD0_LoD1_LoD2_395,0.18925820291,0.115252032876,0.975140213966,3,5,RCID_478fe4d4-43d7-43f6-83d7-23c7b314a86b,1184.21520996,90729.921875,441386.625,-2.28778171539,0.00701240357012,
17,Roof,B-1_2_LoD0_LoD1_LoD2_395,0.894427239895,0.447213619947,0.0,4,5,RCID_478fe4d4-43d7-43f6-83d7-23c7b314a86b,722.788635254,90733.2109375,441381.4375,-2.28821611404,4.70645119321e-07,
18,Roof,B-1_2_LoD0_LoD1_LoD2_395,0.146348923445,0.0926826372743,0.984881579876,5,5,RCID_478fe4d4-43d7-43f6-83d7-23c7b314a86b,1193.30004883,90733.4921875,441383.0625,-2.48117256165,7.08167695999,
19,Roof,B-1_2_LoD0_LoD1_LoD2_395,0.146506011486,0.0928899869323,0.984838783741,6,5,RCID_478fe4d4-43d7-43f6-83d7-23c7b314a86b,1196.29504395,90731.796875,441385.875,-2.49610447884,7.11805057526,
20,Roof,B-1_2_LoD0_LoD1_LoD2_395,0.149239122868,0.0890089273453,0.984786808491,7,5,RCID_478fe4d4-43d7-43f6-83d7-23c7b314a86b,1198.99047852,90730.921875,441387.25,-2.49669384956,0.690187454224,
