Prim num,surface_type,id,N[0],N[1],N[2],child_srf,parent_index,pgon_id,irr_kwh_yr,CTR[0],CTR[1],CTR[2],area,
0,Roof,B-1_2_LoD0_LoD1_LoD2_430,0.160768121481,0.0971004739404,0.982204139233,0,0,RCID_dfdb8894-2715-482b-b1df-f49f13b485e0,1189.8059082,90451.6484375,441280.65625,-2.55866384506,7.04306364059,
1,Roof,B-1_2_LoD0_LoD1_LoD2_430,0.160879924893,0.0980365425348,0.982092857361,1,0,RCID_dfdb8894-2715-482b-b1df-f49f13b485e0,1188.60791016,90450.078125,441283.1875,-2.55440735817,7.12962388992,
2,Roof,B-1_2_LoD0_LoD1_LoD2_430,0.161562129855,0.0977707207203,0.9820073843,2,0,RCID_dfdb8894-2715-482b-b1df-f49f13b485e0,1191.70275879,90448.8515625,441285.1875,-2.55107212067,3.98441100121,
3,Wall,B-1_2_LoD0_LoD1_LoD2_430,0.852638661861,0.522501111031,0.0,0,1,RCID_62f1dafb-69db-4d79-ab69-53d9528e604a,553.372558594,90452.640625,441281.25,-2.78274297714,0.000165161909536,
4,Wall,B-1_2_LoD0_LoD1_LoD2_430,0.851480007172,0.524387061596,0.0,1,1,RCID_62f1dafb-69db-4d79-ab69-53d9528e604a,553.57220459,90451.0625,441283.8125,-2.77831912041,0.00012915226398,
5,Wall,B-1_2_LoD0_LoD1_LoD2_430,0.850162148476,0.526520907879,0.0,2,1,RCID_62f1dafb-69db-4d79-ab69-53d9528e604a,553.771850586,90449.8515625,441285.78125,-2.77490925789,5.45629009139e-05,
6,Wall,B-1_2_LoD0_LoD1_LoD2_430,0.852638602257,0.522501111031,0.0,3,1,RCID_62f1dafb-69db-4d79-ab69-53d9528e604a,545.78527832,90452.640625,441281.25,-3.89919042587,6.7105255127,
7,Wall,B-1_2_LoD0_LoD1_LoD2_430,0.851480007172,0.524387001991,0.0,4,1,RCID_62f1dafb-69db-4d79-ab69-53d9528e604a,544.986633301,90451.0625,441283.8125,-3.89698219299,6.73302698135,
8,Wall,B-1_2_LoD0_LoD1_LoD2_430,0.85016220808,0.526520967484,0.0,5,1,RCID_62f1dafb-69db-4d79-ab69-53d9528e604a,545.186279297,90449.8515625,441285.78125,-3.89527964592,3.62398195267,
9,Wall,B-1_2_LoD0_LoD1_LoD2_430,0.525209605694,-0.85097271204,-0.000593151897192,0,2,RCID_acba5c34-be5e-4ebc-a7a7-b15808bc4687,1108.34240723,90452.0078125,441279.09375,-3.51872134209,7.40881586075,
10,Wall,B-1_2_LoD0_LoD1_LoD2_430,0.527362823486,-0.849640071392,0.0,1,2,RCID_acba5c34-be5e-4ebc-a7a7-b15808bc4687,1085.0814209,90450.203125,441277.9375,-3.78071975708,3.95170283318,
11,Wall,B-1_2_LoD0_LoD1_LoD2_430,-0.854198515415,-0.519946992397,0.0,0,3,RCID_c6745b85-84da-4dd8-92fd-873f892414de,900.291137695,90448.8515625,441278.625,-3.83470892906,5.96205711365,
12,Wall,B-1_2_LoD0_LoD1_LoD2_430,0.479345947504,-0.877626001835,0.0,0,4,RCID_b1a201bd-9f61-4f31-819c-b25c714a9df1,961.987792969,90447.21875,441279.1875,-3.90920567513,4.90504789352,
13,Wall,B-1_2_LoD0_LoD1_LoD2_430,-0.868685305119,-0.49536421895,-0.000461168063339,0,5,RCID_531babab-4db6-45d4-9536-6c509be66502,926.247619629,90445.7421875,441279.5625,-3.98208141327,4.49992752075,
14,Wall,B-1_2_LoD0_LoD1_LoD2_430,-0.871295034885,-0.490759551525,0.0,1,5,RCID_531babab-4db6-45d4-9536-6c509be66502,977.761230469,90444.46875,441281.8125,-2.93164896965,0.000517759704962,
15,Wall,B-1_2_LoD0_LoD1_LoD2_430,-0.866906344891,-0.498471140862,0.0,2,5,RCID_531babab-4db6-45d4-9536-6c509be66502,998.027282715,90445.5625,441279.875,-2.94595217705,0.00011215754057,
16,Wall,B-1_2_LoD0_LoD1_LoD2_430,-0.87129420042,-0.490743875504,-0.00409254571423,3,5,RCID_531babab-4db6-45d4-9536-6c509be66502,944.716674805,90444.46875,441281.8125,-3.97372293472,6.20411491394,
17,Wall,B-1_2_LoD0_LoD1_LoD2_430,-0.505706548691,0.862683653831,0.0061591444537,0,6,RCID_1d2c0838-2f0a-41a1-b680-4987f6cc4cf0,423.090911865,90447.578125,441285.34375,-3.50631332397,7.6505241394,
