Prim num,surface_type,id,N[0],N[1],N[2],child_srf,parent_index,pgon_id,irr_kwh_yr,CTR[0],CTR[1],CTR[2],area,
0,Roof,B-1_2_LoD0_LoD1_LoD2_386,-0.16571970284,-0.0949446484447,0.981591820717,0,0,RCID_e5d3ca00-1ce7-484d-9eeb-c3d9f1acfb60,1374.89562988,90400.8125,441283.1875,-2.46277022362,3.80117511749,
1,Roof,B-1_2_LoD0_LoD1_LoD2_386,-0.166582271457,-0.096178650856,0.981325626373,1,0,RCID_e5d3ca00-1ce7-484d-9eeb-c3d9f1acfb60,1382.7824707,90399.6015625,441285.25,-2.46814584732,6.39593315125,
2,Roof,B-1_2_LoD0_LoD1_LoD2_386,-0.0550287030637,-0.0302231013775,0.998027324677,0,1,RCID_7e639fd1-441f-4198-8681-9ef1cb8e2a99,1314.09765625,90398.703125,441282.6875,-2.73957490921,6.30760955811,
3,Roof,B-1_2_LoD0_LoD1_LoD2_386,-0.054843198508,-0.0304060298949,0.99803185463,1,1,RCID_7e639fd1-441f-4198-8681-9ef1cb8e2a99,1342.05078125,90397.4921875,441284.71875,-2.74426579475,3.71030521393,
4,Wall,B-1_2_LoD0_LoD1_LoD2_386,0.0,1.0,0.0,0,2,RCID_a2b8f61a-22a7-4bb6-a1f7-7bc8e979a8b5,435.570007324,90403.96875,441284.09375,-3.47482681274,0.0189912691712,
5,Wall,B-1_2_LoD0_LoD1_LoD2_386,0.860562682152,0.509342670441,0.00138679752126,1,2,RCID_a2b8f61a-22a7-4bb6-a1f7-7bc8e979a8b5,528.813720703,90403.1953125,441285.375,-3.88345909119,7.30593490601,
6,Wall,B-1_2_LoD0_LoD1_LoD2_386,0.859101593494,0.511805176735,0.0,2,2,RCID_a2b8f61a-22a7-4bb6-a1f7-7bc8e979a8b5,544.088134766,90401.984375,441287.375,-2.6822514534,0.00017119567201,
7,Wall,B-1_2_LoD0_LoD1_LoD2_386,0.859996914864,0.510299324989,0.0,3,2,RCID_a2b8f61a-22a7-4bb6-a1f7-7bc8e979a8b5,541.692138672,90402.9375,441285.8125,-2.67373800278,0.000117567993584,
8,Wall,B-1_2_LoD0_LoD1_LoD2_386,0.859473645687,0.511169433594,0.00330981984735,4,2,RCID_a2b8f61a-22a7-4bb6-a1f7-7bc8e979a8b5,514.937011719,90401.984375,441287.375,-3.88886594772,4.16758394241,
9,Wall,B-1_2_LoD0_LoD1_LoD2_386,0.511126160622,-0.859502851963,-0.00224165827967,0,3,RCID_826bd83d-0e31-4a6c-8820-632078c4b111,1094.16625977,90402.6171875,441283.21875,-3.505828619,8.0050163269,
10,Wall,B-1_2_LoD0_LoD1_LoD2_386,0.511320233345,-0.859389424324,-0.00116638385225,1,3,RCID_826bd83d-0e31-4a6c-8820-632078c4b111,1099.65698242,90400.1796875,441281.8125,-3.61283278465,7.32599973679,
11,Wall,B-1_2_LoD0_LoD1_LoD2_386,0.500647783279,-0.865650653839,-0.000848542433232,2,3,RCID_826bd83d-0e31-4a6c-8820-632078c4b111,1091.77026367,90398.6875,441280.90625,-3.94305229187,0.863165020943,
12,Wall,B-1_2_LoD0_LoD1_LoD2_386,-0.861190974712,-0.508277714252,0.00199802173302,0,4,RCID_18188cde-16ca-4606-9466-3e33ee2a13af,944.816467285,90398.109375,441281.5625,-3.94983315468,4.03244256973,
13,Wall,B-1_2_LoD0_LoD1_LoD2_386,-0.858185648918,-0.513327419758,0.00350865907967,1,4,RCID_18188cde-16ca-4606-9466-3e33ee2a13af,942.22088623,90396.890625,441283.59375,-3.95238685608,6.78434228897,
14,Wall,B-1_2_LoD0_LoD1_LoD2_386,-0.856792151928,-0.51566195488,0.0,2,4,RCID_18188cde-16ca-4606-9466-3e33ee2a13af,966.080871582,90396.640625,441284.0625,-2.81045722961,9.01591120055e-05,
15,Wall,B-1_2_LoD0_LoD1_LoD2_386,-0.51122790575,0.859444260597,-0.00126464979257,0,5,RCID_33d02b9a-0f82-4459-9a96-deca04997a2d,422.791412354,90399.921875,441287.21875,-3.51676869392,8.01159477234,
16,Wall,B-1_2_LoD0_LoD1_LoD2_386,-0.515268743038,0.857028663158,0.0,1,5,RCID_33d02b9a-0f82-4459-9a96-deca04997a2d,0.0,90397.4140625,441285.6875,-5.09547615051,0.000181381226867,
17,Wall,B-1_2_LoD0_LoD1_LoD2_386,-0.505179226398,0.863014519215,0.0,2,5,RCID_33d02b9a-0f82-4459-9a96-deca04997a2d,0.0,90401.421875,441288.125,-5.09543132782,2.26535285037e-05,
18,Wall,B-1_2_LoD0_LoD1_LoD2_386,-0.511805176735,0.85910153389,0.0,3,5,RCID_33d02b9a-0f82-4459-9a96-deca04997a2d,0.0,90399.96875,441287.25,-5.09544754028,0.00018260871002,
19,Wall,B-1_2_LoD0_LoD1_LoD2_386,-0.520042002201,0.854139983654,0.00104625127278,4,5,RCID_33d02b9a-0f82-4459-9a96-deca04997a2d,440.16229248,90397.515625,441285.75,-3.63850092888,7.11802005768,
20,Wall,B-1_2_LoD0_LoD1_LoD2_386,-0.505179166794,0.86301445961,0.0,5,5,RCID_33d02b9a-0f82-4459-9a96-deca04997a2d,419.696594238,90401.421875,441288.125,-3.87275528908,0.907582998276,
21,Roof,B-1_2_LoD0_LoD1_LoD2_386,0.162000492215,0.100914359093,0.981617033482,0,6,RCID_63653b6c-fc38-4dc8-ad32-1b914d7f3d8d,1198.39147949,90402.328125,441284.84375,-2.47314667702,6.42599105835,
22,Roof,B-1_2_LoD0_LoD1_LoD2_386,0.162372037768,0.100389041007,0.981609523296,1,6,RCID_63653b6c-fc38-4dc8-ad32-1b914d7f3d8d,1207.77575684,90401.109375,441286.84375,-2.48058390617,3.8081946373,
