Prim num,surface_type,id,N[0],N[1],N[2],child_srf,parent_index,pgon_id,irr_kwh_yr,CTR[0],CTR[1],CTR[2],area,
0,Roof,B-1_2_LoD0_LoD1_LoD2_493,-0.339117646217,-0.229563191533,0.912304699421,0,0,RCID_e6ad3dae-ff3f-4368-96d9-14a0ec7900ef,1414.0300293,88868.84375,442679.1875,-2.02217698097,0.39031240344,
1,Roof,B-1_2_LoD0_LoD1_LoD2_493,-0.33595854044,-0.228376463056,0.913770198822,1,0,RCID_e6ad3dae-ff3f-4368-96d9-14a0ec7900ef,1432.59899902,88866.2578125,442683.0,-2.02902698517,5.58472537994,
2,Roof,B-1_2_LoD0_LoD1_LoD2_493,-0.3391264081,-0.227279022336,0.912873268127,2,0,RCID_e6ad3dae-ff3f-4368-96d9-14a0ec7900ef,1420.71899414,88867.9453125,442680.5,-2.02456665039,5.66335391998,
3,Wall,B-1_2_LoD0_LoD1_LoD2_493,-0.572897851467,0.819562554359,0.0102651417255,0,1,RCID_b564c7da-c63d-491e-ab36-41ea453b2ee2,436.169006348,88866.1484375,442684.71875,-1.79582285881,0.107025593519,
4,Wall,B-1_2_LoD0_LoD1_LoD2_493,-0.549561679363,0.835452675819,-0.000830491713714,1,1,RCID_b564c7da-c63d-491e-ab36-41ea453b2ee2,437.267150879,88867.3203125,442685.5,-3.57604932785,0.881931245327,
5,Wall,B-1_2_LoD0_LoD1_LoD2_493,-0.581556022167,0.81349170208,-0.00488600041717,2,1,RCID_b564c7da-c63d-491e-ab36-41ea453b2ee2,436.468475342,88866.0234375,442684.59375,-3.01683139801,8.54493045807,
6,Wall,B-1_2_LoD0_LoD1_LoD2_493,0.827997148037,0.560732245445,0.0,0,2,RCID_27fad3e1-2e47-4fb5-ab2f-4d831a6d66ce,504.554382324,88870.109375,442681.75,-3.6152586937,7.47361421585,
7,Wall,B-1_2_LoD0_LoD1_LoD2_493,0.824346363544,0.566085934639,0.0,1,2,RCID_27fad3e1-2e47-4fb5-ab2f-4d831a6d66ce,538.896850586,88868.4375,442684.25,-3.61468696594,7.51016330719,
8,Wall,B-1_2_LoD0_LoD1_LoD2_493,0.832050263882,0.554700195789,0.0,2,2,RCID_27fad3e1-2e47-4fb5-ab2f-4d831a6d66ce,542.291137695,88867.5234375,442685.5625,-3.61437892914,0.565250754356,
9,Wall,B-1_2_LoD0_LoD1_LoD2_493,0.800000011921,-0.600000023842,0.0,0,3,RCID_60467a98-9694-46dd-91f6-6ab1e99af291,863.452819824,88870.953125,442680.5,-3.61210417747,0.0981606096029,
10,Wall,B-1_2_LoD0_LoD1_LoD2_493,0.55300706625,-0.83317053318,-0.00317778205499,1,3,RCID_60467a98-9694-46dd-91f6-6ab1e99af291,1019.99047852,88869.6796875,442679.6875,-3.01708126068,8.52887058258,
11,Wall,B-1_2_LoD0_LoD1_LoD2_493,0.554700136185,-0.832050263882,0.0,2,3,RCID_60467a98-9694-46dd-91f6-6ab1e99af291,936.13104248,88868.328125,442678.78125,-3.6057536602,0.711424767971,
12,Wall,B-1_2_LoD0_LoD1_LoD2_493,0.535707056522,-0.842949986458,-0.0495309196413,3,3,RCID_60467a98-9694-46dd-91f6-6ab1e99af291,1058.82543945,88869.625,442679.625,-1.79401004314,0.110903732479,
13,Wall,B-1_2_LoD0_LoD1_LoD2_493,-0.828847110271,-0.559473574162,-0.00131509290077,0,4,RCID_f74a8995-a26e-4c9a-bc22-b76973848344,1019.79083252,88868.15625,442678.6875,-3.63757419586,0.464181661606,
14,Wall,B-1_2_LoD0_LoD1_LoD2_493,-0.822807252407,-0.568319022655,-0.00131094781682,1,4,RCID_f74a8995-a26e-4c9a-bc22-b76973848344,1022.18682861,88865.5625,442682.46875,-3.64263248444,7.26306390762,
15,Wall,B-1_2_LoD0_LoD1_LoD2_493,-0.823128819466,-0.567854702473,0.0,2,4,RCID_f74a8995-a26e-4c9a-bc22-b76973848344,1021.18847656,88867.25,442680.0,-3.63933515549,7.37326288223,
16,Roof,B-1_2_LoD0_LoD1_LoD2_493,0.329967260361,0.231189355254,0.915244877338,0,5,RCID_b1b21bc6-c11d-4953-91e7-9496598a8460,1042.05358887,88870.2109375,442680.125,-1.99473023415,0.341438740492,
17,Roof,B-1_2_LoD0_LoD1_LoD2_493,0.332157254219,0.226873859763,0.915532529354,1,5,RCID_b1b21bc6-c11d-4953-91e7-9496598a8460,1057.02844238,88867.625,442683.90625,-1.99561572075,5.35344076157,
18,Roof,B-1_2_LoD0_LoD1_LoD2_493,0.331817924976,0.227026671171,0.915617704391,2,5,RCID_b1b21bc6-c11d-4953-91e7-9496598a8460,1043.15161133,88869.3125,442681.4375,-1.99503755569,5.35094165802,
