Prim num,surface_type,id,N[0],N[1],N[2],child_srf,parent_index,pgon_id,irr_kwh_yr,CTR[0],CTR[1],CTR[2],area,
0,Roof,B-1_2_LoD0_LoD1_LoD2_512,-0.603194594383,0.100522093475,-0.791234195232,0,0,RCID_28243711-f6a7-4ea9-aac2-fc231a8b47ce,1577.45629883,90125.3359375,442198.5,-0.862634539604,0.00431979773566,
1,Roof,B-1_2_LoD0_LoD1_LoD2_512,0.321465969086,-0.390542894602,0.862633168697,1,0,RCID_28243711-f6a7-4ea9-aac2-fc231a8b47ce,1470.23596191,90124.2421875,442197.4375,-0.925165176392,7.98945856094,
2,Roof,B-1_2_LoD0_LoD1_LoD2_512,0.322614818811,-0.39191454649,0.86158144474,2,0,RCID_28243711-f6a7-4ea9-aac2-fc231a8b47ce,1511.86608887,90121.9375,442195.53125,-0.936405301094,8.01669120789,
3,Roof,B-1_2_LoD0_LoD1_LoD2_512,0.323524683714,-0.393784463406,0.860386967659,3,0,RCID_28243711-f6a7-4ea9-aac2-fc231a8b47ce,1512.86437988,90120.15625,442194.0625,-0.945111036301,4.37780189514,
4,Wall,B-1_2_LoD0_LoD1_LoD2_512,0.642970323563,-0.765891075134,0.0,0,1,RCID_0e4e735d-fb33-4c95-86a6-0596c35e4f55,1031.77075195,90125.515625,442197.0,-4.73224544525,0.390834450722,
5,Wall,B-1_2_LoD0_LoD1_LoD2_512,0.644771873951,-0.764373242855,0.00167913280893,1,1,RCID_0e4e735d-fb33-4c95-86a6-0596c35e4f55,1059.22473145,90121.421875,442193.5625,-3.127389431,9.01460456848,
6,Wall,B-1_2_LoD0_LoD1_LoD2_512,0.637349843979,-0.770572900772,0.00165980414022,2,1,RCID_0e4e735d-fb33-4c95-86a6-0596c35e4f55,1051.3380127,90123.7265625,442195.5,-3.11986422539,8.97249221802,
7,Wall,B-1_2_LoD0_LoD1_LoD2_512,0.642966210842,-0.76589268446,0.00167443032842,3,1,RCID_0e4e735d-fb33-4c95-86a6-0596c35e4f55,1056.32958984,90125.515625,442197.0,-3.11402416229,4.95737600327,
8,Wall,B-1_2_LoD0_LoD1_LoD2_512,0.644776046276,-0.764371573925,0.0,4,1,RCID_0e4e735d-fb33-4c95-86a6-0596c35e4f55,1027.47790527,90121.421875,442193.5625,-4.7389421463,0.670624494553,
9,Wall,B-1_2_LoD0_LoD1_LoD2_512,0.63735383749,-0.770571172237,0.0,5,1,RCID_0e4e735d-fb33-4c95-86a6-0596c35e4f55,1034.76574707,90123.734375,442195.5,-4.73517179489,0.689952254295,
10,Wall,B-1_2_LoD0_LoD1_LoD2_512,-0.800000011921,-0.599999964237,0.0,0,2,RCID_a4ef35ac-6d04-4894-b188-2f47b98dfa33,992.73614502,90120.28125,442192.625,-3.35050010681,0.117187485099,
11,Wall,B-1_2_LoD0_LoD1_LoD2_512,-0.769072473049,-0.639161586761,0.0,1,2,RCID_a4ef35ac-6d04-4894-b188-2f47b98dfa33,960.989440918,90119.3125,442193.78125,-3.35050010681,9.02060508728,
12,Wall,B-1_2_LoD0_LoD1_LoD2_512,-0.765600085258,-0.643316745758,0.0,2,2,RCID_a4ef35ac-6d04-4894-b188-2f47b98dfa33,845.882324219,90117.875,442195.5,-3.35050010681,4.40830564499,
13,Wall,B-1_2_LoD0_LoD1_LoD2_512,-0.800000011921,-0.600000023842,0.0,3,2,RCID_a4ef35ac-6d04-4894-b188-2f47b98dfa33,1015.29840088,90120.28125,442192.625,-1.73620414734,0.0089294090867,
14,Wall,B-1_2_LoD0_LoD1_LoD2_512,-0.769562840462,-0.638566315174,-0.00245597260073,4,2,RCID_a4ef35ac-6d04-4894-b188-2f47b98dfa33,1031.47131348,90119.2109375,442193.90625,-1.249817729,3.08163714409,
15,Wall,B-1_2_LoD0_LoD1_LoD2_512,-0.765600085258,-0.643316745758,0.0,5,2,RCID_a4ef35ac-6d04-4894-b188-2f47b98dfa33,1017.69433594,90117.875,442195.5,-1.46455001831,1.13425898552,
16,Wall,B-1_2_LoD0_LoD1_LoD2_512,-0.664365708828,0.747407197952,-0.000865050824359,0,3,RCID_00d399e1-8794-44b0-ae4d-3496831754c0,372.675415039,90123.21875,442201.0625,-3.01495265961,0.152345702052,
17,Wall,B-1_2_LoD0_LoD1_LoD2_512,-0.644779682159,0.764342665672,-0.00628282641992,1,3,RCID_00d399e1-8794-44b0-ae4d-3496831754c0,395.537078857,90122.0625,442200.0625,-3.00975823402,9.01515102386,
18,Wall,B-1_2_LoD0_LoD1_LoD2_512,-0.646062672138,0.763258635998,-0.00626819301397,2,3,RCID_00d399e1-8794-44b0-ae4d-3496831754c0,417.899597168,90119.765625,442198.15625,-2.99952363968,8.99724769592,
19,Wall,B-1_2_LoD0_LoD1_LoD2_512,-0.640895009041,0.767613351345,-0.00483243633062,3,3,RCID_00d399e1-8794-44b0-ae4d-3496831754c0,398.731750488,90118.0,442196.65625,-2.99160504341,4.90058279037,
20,Wall,B-1_2_LoD0_LoD1_LoD2_512,-0.799999952316,0.599999964237,0.0,4,3,RCID_00d399e1-8794-44b0-ae4d-3496831754c0,379.064666748,90123.2265625,442201.0625,-4.6828083992,0.0262250751257,
21,Wall,B-1_2_LoD0_LoD1_LoD2_512,-0.644776046276,0.764371573925,0.0,5,3,RCID_00d399e1-8794-44b0-ae4d-3496831754c0,353.108215332,90122.046875,442200.0625,-4.68018913269,1.02431380749,
22,Wall,B-1_2_LoD0_LoD1_LoD2_512,-0.64605897665,0.763287425041,0.0,6,3,RCID_00d399e1-8794-44b0-ae4d-3496831754c0,344.223083496,90119.765625,442198.125,-4.67505168915,1.05285263062,
23,Wall,B-1_2_LoD0_LoD1_LoD2_512,-0.638755381107,0.769409894943,0.0,7,3,RCID_00d399e1-8794-44b0-ae4d-3496831754c0,320.862243652,90118.0,442196.625,-4.67108869553,0.579492688179,
24,Wall,B-1_2_LoD0_LoD1_LoD2_512,0.760428488255,0.649325430393,0.0111864358187,0,4,RCID_75bac089-6611-436e-9857-f442827ad0da,307.983825684,90124.359375,442199.71875,-1.24252855778,3.23049497604,
25,Wall,B-1_2_LoD0_LoD1_LoD2_512,0.76219689846,0.647345304489,0.0,1,4,RCID_75bac089-6611-436e-9857-f442827ad0da,215.638595581,90124.2734375,442199.78125,-3.35049581528,8.97898006439,
26,Wall,B-1_2_LoD0_LoD1_LoD2_512,0.624695062637,0.780868828297,0.0,2,4,RCID_75bac089-6611-436e-9857-f442827ad0da,270.047393799,90123.28125,442200.9375,-1.67387199402,0.0176714155823,
27,Wall,B-1_2_LoD0_LoD1_LoD2_512,0.624695003033,0.780868768692,0.0,3,4,RCID_75bac089-6611-436e-9857-f442827ad0da,211.645294189,90123.2890625,442200.9375,-3.35050010681,0.150073230267,
28,Wall,B-1_2_LoD0_LoD1_LoD2_512,0.772726237774,0.634739398956,0.0,0,4,RCID_be9416d6-662e-459e-8b80-53f7cceb57a0,355.104858398,90125.671875,442198.0625,-1.52062296867,0.93384462595,
29,Wall,B-1_2_LoD0_LoD1_LoD2_512,0.772726237774,0.634739398956,0.0,1,4,RCID_be9416d6-662e-459e-8b80-53f7cceb57a0,291.711090088,90125.671875,442198.0625,-3.35050010681,4.24632930756,
30,Roof,B-1_2_LoD0_LoD1_LoD2_512,-0.313391029835,0.373172521591,0.873228609562,0,6,RCID_aba0bd11-608b-4919-85a4-04b1db21cc09,929.542114258,90123.328125,442199.625,-0.876946568489,4.18928766251,
31,Roof,B-1_2_LoD0_LoD1_LoD2_512,-0.248383566737,0.296312332153,0.922228097916,1,6,RCID_aba0bd11-608b-4919-85a4-04b1db21cc09,980.257080078,90118.5234375,442197.03125,-1.48529434204,0.118769004941,
32,Roof,B-1_2_LoD0_LoD1_LoD2_512,-0.247472986579,0.295235872269,0.92281794548,2,6,RCID_aba0bd11-608b-4919-85a4-04b1db21cc09,962.187438965,90120.8203125,442199.0,-1.49024868011,0.118688434362,
33,Roof,B-1_2_LoD0_LoD1_LoD2_512,-0.262903034687,0.312175214291,0.912923157215,3,6,RCID_aba0bd11-608b-4919-85a4-04b1db21cc09,955.997802734,90122.6171875,442200.5,-1.49411857128,0.0628454387188,
34,Roof,B-1_2_LoD0_LoD1_LoD2_512,-0.313700675964,0.37627518177,0.871784925461,4,6,RCID_aba0bd11-608b-4919-85a4-04b1db21cc09,945.016235352,90119.234375,442196.1875,-0.874088406563,7.38695383072,
35,Roof,B-1_2_LoD0_LoD1_LoD2_512,-0.314091354609,0.373705089092,0.872749149799,5,6,RCID_aba0bd11-608b-4919-85a4-04b1db21cc09,926.946472168,90121.53125,442198.125,-0.875690817833,7.47948026657,
