Prim num,surface_type,id,N[0],N[1],N[2],child_srf,parent_index,pgon_id,irr_kwh_yr,CTR[0],CTR[1],CTR[2],area,
0,Roof,B-1_2_LoD0_LoD1_LoD2_529,0.000601898878813,-2.98566974379e-05,0.999999821186,0,0,RCID_90cff705-b931-4bb6-9cf3-ac5543024355,1296.9263916,89012.6171875,440497.84375,3.1301715374,1.90527379513,
1,Roof,B-1_2_LoD0_LoD1_LoD2_529,0.000650848494843,2.89582800406e-07,0.999999821186,1,0,RCID_90cff705-b931-4bb6-9cf3-ac5543024355,1296.62695312,88969.34375,440490.625,3.15595817566,0.0836181789637,
2,Roof,B-1_2_LoD0_LoD1_LoD2_529,0.000601518666372,-3.06573310809e-05,0.999999821186,2,0,RCID_90cff705-b931-4bb6-9cf3-ac5543024355,1296.52697754,88970.625,440491.4375,3.15521121025,8.8627948761,
3,Roof,B-1_2_LoD0_LoD1_LoD2_529,0.000600232451688,-3.13261843985e-05,0.999999821186,3,0,RCID_90cff705-b931-4bb6-9cf3-ac5543024355,1296.42724609,88973.171875,440493.0,3.15373253822,8.8823261261,
4,Roof,B-1_2_LoD0_LoD1_LoD2_529,0.00060161028523,-3.05041212414e-05,0.999999821186,4,0,RCID_90cff705-b931-4bb6-9cf3-ac5543024355,1296.22753906,88975.7109375,440494.59375,3.1522538662,8.8627948761,
5,Roof,B-1_2_LoD0_LoD1_LoD2_529,0.000601543055382,-3.05465764541e-05,0.999999821186,5,0,RCID_90cff705-b931-4bb6-9cf3-ac5543024355,1296.02783203,88978.25,440496.1875,3.15077495575,8.8627948761,
6,Roof,B-1_2_LoD0_LoD1_LoD2_529,0.00060161028523,-3.05041212414e-05,0.999999821186,6,0,RCID_90cff705-b931-4bb6-9cf3-ac5543024355,1295.92810059,88980.7890625,440497.8125,3.1492960453,8.8627948761,
7,Roof,B-1_2_LoD0_LoD1_LoD2_529,0.000600220286287,-3.138154716e-05,0.999999821186,7,0,RCID_90cff705-b931-4bb6-9cf3-ac5543024355,1295.82824707,88983.3359375,440499.375,3.14781737328,8.8823261261,
8,Roof,B-1_2_LoD0_LoD1_LoD2_529,0.00060161028523,-3.05041212414e-05,0.999999821186,8,0,RCID_90cff705-b931-4bb6-9cf3-ac5543024355,1295.82824707,88985.875,440501.0,3.14633846283,8.8627948761,
9,Roof,B-1_2_LoD0_LoD1_LoD2_529,0.000601598119829,-3.05594985548e-05,0.999999821186,9,0,RCID_90cff705-b931-4bb6-9cf3-ac5543024355,1295.82824707,88988.4140625,440502.5625,3.14485955238,8.8627948761,
10,Roof,B-1_2_LoD0_LoD1_LoD2_529,0.000601598119829,-3.05594985548e-05,0.999999821186,10,0,RCID_90cff705-b931-4bb6-9cf3-ac5543024355,1295.92810059,88990.9609375,440504.1875,3.14338088036,8.8627948761,
11,Roof,B-1_2_LoD0_LoD1_LoD2_529,0.000600160041358,-3.11296571454e-05,0.999999821186,11,0,RCID_90cff705-b931-4bb6-9cf3-ac5543024355,1296.02783203,88993.5,440505.78125,3.14190244675,8.9467792511,
12,Roof,B-1_2_LoD0_LoD1_LoD2_529,0.000601300387643,-3.00852461805e-05,0.999999821186,12,0,RCID_90cff705-b931-4bb6-9cf3-ac5543024355,1295.92810059,88996.0390625,440507.375,3.14042377472,8.94214057922,
13,Roof,B-1_2_LoD0_LoD1_LoD2_529,0.000601239444222,-3.00629726553e-05,0.999999761581,13,0,RCID_90cff705-b931-4bb6-9cf3-ac5543024355,1295.72839355,88998.6171875,440509.3125,3.13893961906,8.93835639954,
14,Roof,B-1_2_LoD0_LoD1_LoD2_529,0.000601245381404,-3.00724350382e-05,0.999999821186,14,0,RCID_90cff705-b931-4bb6-9cf3-ac5543024355,1295.62854004,89001.1171875,440510.5625,3.13746643066,8.94214057922,
15,Roof,B-1_2_LoD0_LoD1_LoD2_529,0.000603630731348,-2.90929965558e-05,0.999999880791,15,0,RCID_90cff705-b931-4bb6-9cf3-ac5543024355,1295.32910156,89005.359375,440513.21875,3.13500285149,2.96215867996,
16,Roof,B-1_2_LoD0_LoD1_LoD2_529,0.000599906255957,-3.0954452086e-05,0.999999821186,16,0,RCID_90cff705-b931-4bb6-9cf3-ac5543024355,1295.42895508,89003.6640625,440512.1875,3.13598775864,8.96191596985,
17,Roof,B-1_2_LoD0_LoD1_LoD2_529,0.000650953443255,1.32110699269e-07,0.999999761581,17,0,RCID_90cff705-b931-4bb6-9cf3-ac5543024355,1296.9263916,88970.9375,440488.09375,3.15492630005,0.0845947414637,
18,Roof,B-1_2_LoD0_LoD1_LoD2_529,0.000600122963078,-3.04283712467e-05,0.999999761581,18,0,RCID_90cff705-b931-4bb6-9cf3-ac5543024355,1296.82653809,88972.21875,440488.90625,3.15417981148,9.06262397766,
19,Roof,B-1_2_LoD0_LoD1_LoD2_529,0.000600430881605,-3.00968495139e-05,0.999999761581,19,0,RCID_90cff705-b931-4bb6-9cf3-ac5543024355,1296.62695312,88974.765625,440490.5,3.15270161629,9.06262397766,
20,Roof,B-1_2_LoD0_LoD1_LoD2_529,0.000601508480031,-3.03419401462e-05,0.999999821186,20,0,RCID_90cff705-b931-4bb6-9cf3-ac5543024355,1296.52697754,88977.3046875,440492.09375,3.15122270584,9.0463886261,
21,Roof,B-1_2_LoD0_LoD1_LoD2_529,0.000601659412496,-3.0433633583e-05,0.999999821186,21,0,RCID_90cff705-b931-4bb6-9cf3-ac5543024355,1296.32739258,88979.84375,440493.6875,3.14974403381,9.03161811829,
22,Roof,B-1_2_LoD0_LoD1_LoD2_529,0.000601676991209,-3.06104229821e-05,0.999999821186,22,0,RCID_90cff705-b931-4bb6-9cf3-ac5543024355,1296.12768555,88982.375,440495.28125,3.14826512337,8.96704292297,
23,Roof,B-1_2_LoD0_LoD1_LoD2_529,0.000600340543315,-3.1498966564e-05,0.999999761581,23,0,RCID_90cff705-b931-4bb6-9cf3-ac5543024355,1296.12768555,88984.921875,440496.875,3.14678621292,8.9868183136,
24,Roof,B-1_2_LoD0_LoD1_LoD2_529,0.000601719366387,-3.06779329549e-05,0.999999821186,24,0,RCID_90cff705-b931-4bb6-9cf3-ac5543024355,1296.12768555,88987.46875,440498.4375,3.14530754089,8.96704292297,
25,Roof,B-1_2_LoD0_LoD1_LoD2_529,0.00060166453477,-3.06653673761e-05,0.999999821186,25,0,RCID_90cff705-b931-4bb6-9cf3-ac5543024355,1296.22753906,88990.0,440500.0625,3.14382863045,8.96704292297,
26,Roof,B-1_2_LoD0_LoD1_LoD2_529,0.00060166453477,-3.06653673761e-05,0.999999821186,26,0,RCID_90cff705-b931-4bb6-9cf3-ac5543024355,1296.22753906,88992.546875,440501.65625,3.14234972,8.96704292297,
27,Roof,B-1_2_LoD0_LoD1_LoD2_529,0.000600029656198,-3.16005280183e-05,0.999999761581,27,0,RCID_90cff705-b931-4bb6-9cf3-ac5543024355,1296.22753906,88995.0859375,440503.25,3.14087152481,8.9868183136,
28,Roof,B-1_2_LoD0_LoD1_LoD2_529,0.000601524952799,-3.05177782138e-05,0.999999821186,28,0,RCID_90cff705-b931-4bb6-9cf3-ac5543024355,1296.22753906,88997.625,440504.84375,3.1393930912,8.96704292297,
29,Roof,B-1_2_LoD0_LoD1_LoD2_529,0.000601524952799,-3.05177782138e-05,0.999999821186,29,0,RCID_90cff705-b931-4bb6-9cf3-ac5543024355,1296.02783203,89000.171875,440506.4375,3.13791465759,8.96704292297,
