Prim num,surface_type,id,N[0],N[1],N[2],child_srf,parent_index,pgon_id,irr_kwh_yr,CTR[0],CTR[1],CTR[2],area,
0,Roof,B-1_2_LoD0_LoD1_LoD2_382,-0.0762460827827,-0.0500828176737,0.995830416679,0,0,RCID_fb7dc0d5-a743-4f4e-ab90-b45dce391e1b,1326.47680664,90760.203125,441452.0,-2.74642252922,3.71201086044,
1,Roof,B-1_2_LoD0_LoD1_LoD2_382,-0.0761808156967,-0.0504700019956,0.995815873146,1,0,RCID_fb7dc0d5-a743-4f4e-ab90-b45dce391e1b,1312.8996582,90758.5703125,441454.53125,-2.74353814125,3.62343788147,
2,Roof,B-1_2_LoD0_LoD1_LoD2_382,-0.0766230076551,-0.0505437888205,0.995778262615,2,0,RCID_fb7dc0d5-a743-4f4e-ab90-b45dce391e1b,1324.67980957,90757.1875,441456.6875,-2.74107432365,2.50961852074,
3,Roof,B-1_2_LoD0_LoD1_LoD2_382,0.234867438674,0.115062557161,0.965193152428,0,1,RCID_4253a267-62b6-453b-9f71-d6aa9da95a1a,1155.06408691,90766.2109375,441453.96875,-3.0717716217,0.0326299443841,
4,Roof,B-1_2_LoD0_LoD1_LoD2_382,0.172392353415,0.100475557148,0.97989064455,1,1,RCID_4253a267-62b6-453b-9f71-d6aa9da95a1a,1287.04296875,90762.5625,441453.5,-2.15778231621,0.101308241487,
5,Roof,B-1_2_LoD0_LoD1_LoD2_382,0.16993701458,0.0995565131307,0.980413198471,2,1,RCID_4253a267-62b6-453b-9f71-d6aa9da95a1a,1171.83605957,90760.9921875,441456.03125,-2.14356279373,0.0555995926261,
6,Roof,B-1_2_LoD0_LoD1_LoD2_382,0.255111664534,0.152399942279,0.954825818539,3,1,RCID_4253a267-62b6-453b-9f71-d6aa9da95a1a,1157.16064453,90759.8359375,441457.9375,-2.13318300247,0.00715935556218,
7,Roof,B-1_2_LoD0_LoD1_LoD2_382,0.800000071526,-0.600000023842,-0.0,4,1,RCID_4253a267-62b6-453b-9f71-d6aa9da95a1a,1267.97497559,90763.359375,441452.21875,-2.16623830795,2.79396772385e-08,
8,Roof,B-1_2_LoD0_LoD1_LoD2_382,0.223998486996,0.133731141686,0.965370714664,5,1,RCID_4253a267-62b6-453b-9f71-d6aa9da95a1a,1154.66479492,90763.78125,441454.71875,-2.6108250618,8.74146366119,
9,Roof,B-1_2_LoD0_LoD1_LoD2_382,0.225567772985,0.132743760943,0.96514159441,6,1,RCID_4253a267-62b6-453b-9f71-d6aa9da95a1a,1164.04907227,90761.8828125,441456.59375,-2.43027091026,6.52925825119,
