Prim num,surface_type,id,N[0],N[1],N[2],child_srf,parent_index,pgon_id,irr_kwh_yr,CTR[0],CTR[1],CTR[2],area,
0,Roof,B-1_2_LoD0_LoD1_LoD2_477,0.325914233923,0.207739233971,0.922292947769,0,0,RCID_432c120d-a3e7-4b74-b466-4581ebe2b957,1079.7902832,88821.6328125,442648.4375,-2.39185714722,6.59486532211,
1,Roof,B-1_2_LoD0_LoD1_LoD2_477,0.3260871768,0.207830250263,0.92221134901,1,0,RCID_432c120d-a3e7-4b74-b466-4581ebe2b957,1062.31958008,88816.953125,442655.8125,-2.39185714722,8.1511592865,
2,Roof,B-1_2_LoD0_LoD1_LoD2_477,0.3260871768,0.207830250263,0.92221134901,2,0,RCID_432c120d-a3e7-4b74-b466-4581ebe2b957,1070.00671387,88818.5625,442653.21875,-2.39185714722,8.1511592865,
3,Roof,B-1_2_LoD0_LoD1_LoD2_477,0.325950145721,0.207239896059,0.92239266634,3,0,RCID_432c120d-a3e7-4b74-b466-4581ebe2b957,1079.7902832,88820.171875,442650.71875,-2.39185714722,8.15458393097,
4,Wall,B-1_2_LoD0_LoD1_LoD2_477,0.84510833025,0.534595012665,0.0,0,1,RCID_2a6c742d-d7fc-4dbe-8ce4-483dbbcc6727,514.437805176,88822.671875,442649.0625,-3.95742559433,5.07888126373,
5,Wall,B-1_2_LoD0_LoD1_LoD2_477,0.840836822987,0.541288733482,0.0,1,1,RCID_2a6c742d-d7fc-4dbe-8ce4-483dbbcc6727,487.782470703,88817.984375,442656.4375,-3.95742559433,6.18749380112,
6,Wall,B-1_2_LoD0_LoD1_LoD2_477,0.84387588501,0.536538362503,0.0,2,1,RCID_2a6c742d-d7fc-4dbe-8ce4-483dbbcc6727,503.056884766,88819.59375,442653.90625,-3.95742559433,6.24227523804,
7,Wall,B-1_2_LoD0_LoD1_LoD2_477,0.842696249485,0.538389325142,0.0,3,1,RCID_2a6c742d-d7fc-4dbe-8ce4-483dbbcc6727,510.244842529,88821.203125,442651.375,-3.95742559433,6.2510137558,
8,Wall,B-1_2_LoD0_LoD1_LoD2_477,0.535388350487,-0.844598889351,0.00349374837242,0,2,RCID_a1a8b5ae-c581-491f-bdaa-7f78f47df672,1098.25939941,88821.78125,442647.09375,-3.1637468338,7.9319190979,
9,Wall,B-1_2_LoD0_LoD1_LoD2_477,0.540290176868,-0.841478228569,0.000843380112201,1,2,RCID_a1a8b5ae-c581-491f-bdaa-7f78f47df672,1127.61010742,88820.0078125,442645.9375,-3.74666762352,4.77640151978,
10,Wall,B-1_2_LoD0_LoD1_LoD2_477,0.55349367857,-0.830239236355,-0.0659367889166,2,2,RCID_a1a8b5ae-c581-491f-bdaa-7f78f47df672,1029.57446289,88821.2109375,442646.75,-1.95424127579,0.0407291129231,
11,Wall,B-1_2_LoD0_LoD1_LoD2_477,-0.842859625816,-0.538133442402,0.0,0,3,RCID_2b5440c3-5d6d-46f8-bfcb-9bf6a532ff75,997.128845215,88818.59375,442646.5,-3.95742559433,5.0152721405,
12,Wall,B-1_2_LoD0_LoD1_LoD2_477,-0.84387588501,-0.536538362503,0.0,1,3,RCID_2b5440c3-5d6d-46f8-bfcb-9bf6a532ff75,965.282165527,88813.90625,442653.8125,-3.95742559433,6.24227380753,
13,Wall,B-1_2_LoD0_LoD1_LoD2_477,-0.842696249485,-0.538389265537,0.0,2,3,RCID_2b5440c3-5d6d-46f8-bfcb-9bf6a532ff75,1001.32177734,88815.515625,442651.3125,-3.95742559433,6.25101232529,
14,Wall,B-1_2_LoD0_LoD1_LoD2_477,-0.84387588501,-0.536538362503,0.0,3,3,RCID_2b5440c3-5d6d-46f8-bfcb-9bf6a532ff75,965.182373047,88817.1328125,442648.75,-3.95742559433,6.24227380753,
15,Wall,B-1_2_LoD0_LoD1_LoD2_477,-0.524033486843,0.851554512978,-0.0156145133078,0,4,RCID_263c438c-f3d4-4eee-9541-48b9bc4f3621,308.982147217,88815.0859375,442656.4375,-1.95431613922,0.0390887334943,
16,Wall,B-1_2_LoD0_LoD1_LoD2_477,-0.527816951275,0.849321842194,-0.00786172971129,1,4,RCID_263c438c-f3d4-4eee-9541-48b9bc4f3621,305.787506104,88816.40625,442657.25,-3.76051187515,4.62728834152,
17,Wall,B-1_2_LoD0_LoD1_LoD2_477,-0.545399606228,0.838143229485,-0.00741734914482,2,4,RCID_263c438c-f3d4-4eee-9541-48b9bc4f3621,310.479644775,88814.609375,442656.09375,-3.17301273346,8.03282833099,
18,Roof,B-1_2_LoD0_LoD1_LoD2_477,-0.339515179396,-0.217077866197,0.915208518505,0,5,RCID_d7887cc8-2c09-400f-9cc5-6152b9976837,1378.19018555,88819.5625,442647.125,-2.39655351639,6.20002651215,
19,Roof,B-1_2_LoD0_LoD1_LoD2_477,-0.379886984825,-0.24269746244,0.892627477646,1,5,RCID_d7887cc8-2c09-400f-9cc5-6152b9976837,1396.16003418,88816.171875,442654.71875,-1.8729070425,0.0110770678148,
