Prim num,surface_type,id,N[0],N[1],N[2],child_srf,parent_index,pgon_id,irr_kwh_yr,CTR[0],CTR[1],CTR[2],area,
0,Wall,B-1_2_LoD0_LoD1_LoD2_528,0.875995695591,0.482319027185,0.0,0,0,RCID_3954c2b9-73b3-4067-95b9-87f9ff7d7e07,546.384277344,88916.3125,440236.125,0.501544892788,8.98955535889,
1,Wall,B-1_2_LoD0_LoD1_LoD2_528,0.875442624092,0.48332080245,0.00113992649131,1,0,RCID_3954c2b9-73b3-4067-95b9-87f9ff7d7e07,543.688781738,88914.8671875,440238.75,0.493509411812,8.99524593353,
2,Wall,B-1_2_LoD0_LoD1_LoD2_528,0.871573448181,0.490263640881,0.00113488850184,2,0,RCID_3954c2b9-73b3-4067-95b9-87f9ff7d7e07,539.994995117,88914.09375,440240.125,0.489198684692,0.645450294018,
3,Wall,B-1_2_LoD0_LoD1_LoD2_528,0.875434756279,0.48331913352,0.00409115664661,3,0,RCID_3954c2b9-73b3-4067-95b9-87f9ff7d7e07,517.332946777,88916.3125,440236.125,-1.41635322571,2.50638127327,
4,Wall,B-1_2_LoD0_LoD1_LoD2_528,0.875995695591,0.482319056988,0.0,4,0,RCID_3954c2b9-73b3-4067-95b9-87f9ff7d7e07,491.875610352,88914.875,440238.75,-1.42035484314,2.48057866096,
5,Wall,B-1_2_LoD0_LoD1_LoD2_528,0.863778889179,0.503871023655,0.0,5,0,RCID_3954c2b9-73b3-4067-95b9-87f9ff7d7e07,497.366394043,88914.09375,440240.125,-1.42250156403,0.178750678897,
6,Wall,B-1_2_LoD0_LoD1_LoD2_528,-0.875320196152,-0.483543813229,0.0,0,1,RCID_1a7e433b-3fce-4f4f-a1e3-fe59894edbec,891.106567383,88913.0625,440234.0625,-0.334310173988,6.64042663574,
7,Wall,B-1_2_LoD0_LoD1_LoD2_528,-0.875320136547,-0.483543783426,0.0,1,1,RCID_1a7e433b-3fce-4f4f-a1e3-fe59894edbec,916.364135742,88913.0625,440234.0625,1.58028888702,1.83541047573,
8,Wall,B-1_2_LoD0_LoD1_LoD2_528,-0.877895593643,-0.478852123022,0.0,0,1,RCID_cf58d72b-ee6b-4445-8338-f5475243fe74,899.29284668,88912.1484375,440235.71875,-0.334310054779,4.69873666763,
9,Wall,B-1_2_LoD0_LoD1_LoD2_528,-0.877895593643,-0.478852123022,0.0,1,1,RCID_cf58d72b-ee6b-4445-8338-f5475243fe74,915.565551758,88912.1484375,440235.71875,1.57775747776,1.29079782963,
10,Wall,B-1_2_LoD0_LoD1_LoD2_528,-0.89442718029,-0.447213590145,0.0,0,1,RCID_a1d43669-00f1-4eee-bb27-16603a04d5e5,885.316223145,88911.796875,440236.375,-0.334310054779,0.104815684259,
11,Wall,B-1_2_LoD0_LoD1_LoD2_528,-0.873125731945,-0.487495183945,0.0,1,1,RCID_a1d43669-00f1-4eee-bb27-16603a04d5e5,898.693786621,88911.265625,440237.3125,1.5752260685,1.7589225769,
12,Wall,B-1_2_LoD0_LoD1_LoD2_528,-0.87312567234,-0.487495154142,0.0,2,1,RCID_a1d43669-00f1-4eee-bb27-16603a04d5e5,882.520935059,88911.265625,440237.3125,-0.334310054779,6.44237136841,
13,Wall,B-1_2_LoD0_LoD1_LoD2_528,-0.894427120686,-0.447213560343,0.0,3,1,RCID_a1d43669-00f1-4eee-bb27-16603a04d5e5,899.192932129,88911.796875,440236.375,1.57669079304,0.0287195537239,
14,Wall,B-1_2_LoD0_LoD1_LoD2_528,-0.916157364845,-0.40081885457,0.0,0,1,RCID_3d22d3a8-65f2-447b-8504-ac7b84926b41,842.088684082,88910.6953125,440238.34375,-0.334310054779,0.409318327904,
15,Wall,B-1_2_LoD0_LoD1_LoD2_528,-0.916157305241,-0.400818824768,0.0,1,1,RCID_3d22d3a8-65f2-447b-8504-ac7b84926b41,866.248168945,88910.6953125,440238.34375,1.57367134094,0.111329525709,
16,Wall,B-1_2_LoD0_LoD1_LoD2_528,-0.479214578867,0.877696931362,-0.00124795676675,0,5,RCID_4ae6f056-1de2-465e-b20e-8186501c462b,349.21472168,88912.7109375,440239.5625,0.485965162516,8.99908447266,
17,Wall,B-1_2_LoD0_LoD1_LoD2_528,-0.480143010616,0.877189397812,-0.00125037471298,1,5,RCID_4ae6f056-1de2-465e-b20e-8186501c462b,349.913543701,88911.0234375,440238.65625,0.482252389193,2.53830170631,
18,Wall,B-1_2_LoD0_LoD1_LoD2_528,-0.47921705246,0.877696454525,0.0,2,5,RCID_4ae6f056-1de2-465e-b20e-8186501c462b,310.978820801,88912.71875,440239.5625,-1.42415046692,2.46045064926,
19,Wall,B-1_2_LoD0_LoD1_LoD2_528,-0.480145514011,0.877188920975,0.0,3,5,RCID_4ae6f056-1de2-465e-b20e-8186501c462b,305.288330078,88911.03125,440238.65625,-1.42601680756,0.690875887871,
20,Wall,B-1_2_LoD0_LoD1_LoD2_528,0.463171720505,-0.886265993118,0.00215652096085,0,6,RCID_d67495dc-cdee-4a3b-be3a-5316a2575ec6,1111.63696289,88916.671875,440234.65625,-1.41472148895,0.735871016979,
21,Wall,B-1_2_LoD0_LoD1_LoD2_528,0.459173351526,-0.888346493244,0.000597883190494,1,6,RCID_d67495dc-cdee-4a3b-be3a-5316a2575ec6,1106.8449707,88914.9453125,440233.75,0.500873446465,8.98351955414,
22,Wall,B-1_2_LoD0_LoD1_LoD2_528,0.463173598051,-0.886267364025,0.000603091844823,2,6,RCID_d67495dc-cdee-4a3b-be3a-5316a2575ec6,1119.32397461,88916.65625,440234.65625,0.504762232304,2.63130354881,
23,Wall,B-1_2_LoD0_LoD1_LoD2_528,0.45917147398,-0.888345062733,0.0021477395203,3,6,RCID_d67495dc-cdee-4a3b-be3a-5316a2575ec6,1109.04125977,88914.953125,440233.75,-1.41668772697,2.50081849098,
24,Roof,B-1_2_LoD0_LoD1_LoD2_528,-0.00300489692017,0.00139453064185,0.999994575977,0,7,RCID_27566876-a282-45d2-ab08-090bed84860a,1285.24597168,88913.078125,440234.75,1.99390852451,2.56703066826,
25,Roof,B-1_2_LoD0_LoD1_LoD2_528,-0.0039214589633,0.00315877818502,0.999987304211,1,7,RCID_27566876-a282-45d2-ab08-090bed84860a,1277.1595459,88912.2734375,440239.34375,1.98503494263,0.0112306112424,
