Prim num,surface_type,id,N[0],N[1],N[2],child_srf,parent_index,pgon_id,irr_kwh_yr,CTR[0],CTR[1],CTR[2],area,
0,Roof,B-1_2_LoD0_LoD1_LoD2_542,0.0833163112402,-0.142357736826,0.986302495003,0,0,RCID_c375f017-a53e-489e-a9d2-0f035b72b181,1422.4161377,88680.0234375,440177.6875,-0.418144732714,2.59610891342,
1,Roof,B-1_2_LoD0_LoD1_LoD2_542,0.0837958976626,-0.14163915813,0.986365318298,1,0,RCID_c375f017-a53e-489e-a9d2-0f035b72b181,1423.01501465,88678.171875,440176.625,-0.411049872637,6.28454494476,
2,Wall,B-1_2_LoD0_LoD1_LoD2_542,-0.861395597458,-0.507933318615,0.00115315953735,0,1,RCID_f73e6f6b-3730-4f8b-976c-32cea6dbdd3b,991.438415527,88676.5859375,440176.34375,-1.16992115974,5.82238578796,
3,Wall,B-1_2_LoD0_LoD1_LoD2_542,-0.86489969492,-0.501941204071,-0.00185232283548,1,1,RCID_f73e6f6b-3730-4f8b-976c-32cea6dbdd3b,989.142211914,88675.546875,440178.125,-1.41435027122,2.57015657425,
4,Wall,B-1_2_LoD0_LoD1_LoD2_542,0.0,1.0,0.0,0,2,RCID_5cff6fca-5726-480c-9a74-1462f83699ec,362.292816162,88678.859375,440180.9375,-1.7803812027,0.0256086345762,
5,Wall,B-1_2_LoD0_LoD1_LoD2_542,-0.510041534901,0.860128879547,0.00599927408621,1,2,RCID_5cff6fca-5726-480c-9a74-1462f83699ec,410.511962891,88677.546875,440180.125,-1.49645781517,4.98514604568,
6,Wall,B-1_2_LoD0_LoD1_LoD2_542,-0.507004022598,0.861940562725,0.00234237359837,2,2,RCID_5cff6fca-5726-480c-9a74-1462f83699ec,419.297271729,88675.7265625,440179.0625,-1.48120808601,2.08457422256,
7,Wall,B-1_2_LoD0_LoD1_LoD2_542,0.860838294029,0.508873939514,-0.00217300583608,0,3,RCID_04823efd-904b-47c9-9bdc-10ff5899bcd6,527.41607666,88679.7109375,440179.46875,-1.19132423401,5.61787033081,
8,Wall,B-1_2_LoD0_LoD1_LoD2_542,0.855500161648,0.517802715302,0.0,1,3,RCID_04823efd-904b-47c9-9bdc-10ff5899bcd6,536.20135498,88680.625,440177.9375,-2.32633185387,1.38996210808e-05,
9,Wall,B-1_2_LoD0_LoD1_LoD2_542,0.860717475414,0.509082913399,0.0,2,3,RCID_04823efd-904b-47c9-9bdc-10ff5899bcd6,503.156707764,88679.625,440179.5625,-2.32633256912,7.52400737838e-05,
10,Wall,B-1_2_LoD0_LoD1_LoD2_542,0.855500161648,0.517802715302,0.0,3,3,RCID_04823efd-904b-47c9-9bdc-10ff5899bcd6,588.913024902,88680.7421875,440177.71875,-1.39971709251,2.57241368294,
11,Wall,B-1_2_LoD0_LoD1_LoD2_542,0.50426286459,-0.863550186157,0.0,0,4,RCID_0fecbe8c-ef59-4e8a-80fc-8dddb115afeb,1103.9498291,88680.5625,440176.8125,-1.45771348476,2.1531586647,
12,Wall,B-1_2_LoD0_LoD1_LoD2_542,0.509517371655,-0.860460400581,0.0,1,4,RCID_0fecbe8c-ef59-4e8a-80fc-8dddb115afeb,1105.04797363,88678.734375,440175.75,-1.45770955086,5.22086143494,
13,Roof,B-1_2_LoD0_LoD1_LoD2_542,-0.0776392146945,0.159006774426,0.984219968319,0,5,RCID_13025feb-1ec8-41e8-978f-58d520b1b0ee,1178.92407227,88678.1875,440179.15625,-0.455400556326,6.98435878754,
14,Roof,B-1_2_LoD0_LoD1_LoD2_542,-0.0983479842544,0.195862054825,0.975687265396,1,5,RCID_13025feb-1ec8-41e8-978f-58d520b1b0ee,1077.79370117,88676.90625,440177.125,-0.231066435575,0.0270458012819,
15,Roof,B-1_2_LoD0_LoD1_LoD2_542,-0.0469336099923,0.101205937564,0.993757843971,2,5,RCID_13025feb-1ec8-41e8-978f-58d520b1b0ee,1197.19348145,88678.328125,440177.9375,-0.241848438978,0.0526971109211,
16,Roof,B-1_2_LoD0_LoD1_LoD2_542,-0.0791020095348,0.157415658236,0.984359264374,3,5,RCID_13025feb-1ec8-41e8-978f-58d520b1b0ee,1154.66479492,88676.34375,440178.125,-0.434322059155,2.93345737457,
