Prim num,surface_type,id,N[0],N[1],N[2],child_srf,parent_index,pgon_id,irr_kwh_yr,CTR[0],CTR[1],CTR[2],area,
0,Roof,B-1_2_LoD0_LoD1_LoD2_396,-0.149620696902,-0.0972192808986,0.983952283859,0,0,RCID_c53f97cf-6550-4166-9218-581ad8377b12,1351.13549805,90423.53125,441242.71875,-2.55419683456,5.75333976746,
1,Roof,B-1_2_LoD0_LoD1_LoD2_396,-0.15002964437,-0.0982605963945,0.983786642551,1,0,RCID_c53f97cf-6550-4166-9218-581ad8377b12,1381.68432617,90422.03125,441245.1875,-2.54060745239,6.16464853287,
2,Wall,B-1_2_LoD0_LoD1_LoD2_396,0.847998321056,0.529998958111,0.0,0,1,RCID_5cc40101-309d-40d9-97b2-aac9889cbe5a,523.223083496,90426.140625,441244.5,-2.75437831879,0.000184077158337,
3,Wall,B-1_2_LoD0_LoD1_LoD2_396,0.845420956612,0.534100413322,0.0,1,1,RCID_5cc40101-309d-40d9-97b2-aac9889cbe5a,519.129943848,90424.609375,441246.90625,-2.7492313385,0.000166624828125,
4,Wall,B-1_2_LoD0_LoD1_LoD2_396,0.847120285034,0.531396865845,0.00211644708179,2,1,RCID_5cc40101-309d-40d9-97b2-aac9889cbe5a,504.853851318,90426.140625,441244.5,-3.93421912193,7.09429597855,
5,Wall,B-1_2_LoD0_LoD1_LoD2_396,0.845421075821,0.534100413322,0.0,3,1,RCID_5cc40101-309d-40d9-97b2-aac9889cbe5a,502.258209229,90424.609375,441246.90625,-3.931650877,6.46843338013,
6,Wall,B-1_2_LoD0_LoD1_LoD2_396,0.515926897526,-0.856573998928,-0.0100254984573,0,2,RCID_eb3f4700-8914-495c-b672-c77052b127b8,1075.19799805,90425.6015625,441242.34375,-3.57668948174,7.74535369873,
7,Wall,B-1_2_LoD0_LoD1_LoD2_396,0.510635733604,-0.859774589539,-0.00622799061239,1,2,RCID_eb3f4700-8914-495c-b672-c77052b127b8,1080.88842773,90423.90625,441241.34375,-3.87546682358,2.95990085602,
8,Wall,B-1_2_LoD0_LoD1_LoD2_396,-0.852559268475,-0.52263045311,0.0,0,3,RCID_68f2bd12-271e-441f-ba3f-7112f567ce9a,946.413818359,90422.65625,441242.21875,-3.92579102516,6.35894393921,
9,Wall,B-1_2_LoD0_LoD1_LoD2_396,-0.894417047501,-0.447224259377,0.00291167455725,1,3,RCID_68f2bd12-271e-441f-ba3f-7112f567ce9a,936.230895996,90420.375,441245.9375,-3.51404809952,0.0419244319201,
10,Wall,B-1_2_LoD0_LoD1_LoD2_396,-0.851210534573,-0.524824023247,-0.000648182525765,2,3,RCID_68f2bd12-271e-441f-ba3f-7112f567ce9a,926.347412109,90421.1796875,441244.625,-3.91814017296,7.15649747849,
11,Wall,B-1_2_LoD0_LoD1_LoD2_396,-0.521553516388,0.853208243847,-0.00418805098161,0,4,RCID_58e63a4b-e090-447a-82ab-45c9a196007d,399.82989502,90421.7421875,441246.8125,-3.56737208366,7.81287956238,
12,Wall,B-1_2_LoD0_LoD1_LoD2_396,-0.525640130043,0.850707113743,0.0,1,4,RCID_58e63a4b-e090-447a-82ab-45c9a196007d,388.948120117,90423.40625,441247.8125,-3.87858176231,2.79116463661,
13,Roof,B-1_2_LoD0_LoD1_LoD2_396,0.1521936059,0.0936215370893,0.983906567097,0,5,RCID_0e591016-d037-40eb-9caf-4d97d8e1816b,1195.9954834,90425.3359375,441243.8125,-2.56199669838,5.9682431221,
14,Roof,B-1_2_LoD0_LoD1_LoD2_396,0.153440713882,0.094427600503,0.9836358428,1,5,RCID_0e591016-d037-40eb-9caf-4d97d8e1816b,1198.99047852,90423.796875,441246.25,-2.55544471741,6.54683589935,
