"id","gml_id","bldg_volume","cal_file_assoc","folder_name","zone"
"B-1_2_LoD0_LoD1_LoD2_493","ID_0599100010034596",58.88228988647461,"SERIS_stn104.cal","Batch-1_zonder_textures","B-1_2_"
"B-1_2_LoD0_LoD1_LoD2_494","ID_0599100010040247",32.45440673828125,"SERIS_stn104.cal","Batch-1_zonder_textures","B-1_2_"
"B-1_2_LoD0_LoD1_LoD2_495","ID_0599100010043193",1244.2813720703125,"SERIS_stn104.cal","Batch-1_zonder_textures","B-1_2_"
"B-1_2_LoD0_LoD1_LoD2_497","ID_0599100010051469",904.1799926757812,"SERIS_stn104.cal","Batch-1_zonder_textures","B-1_2_"
"B-1_2_LoD0_LoD1_LoD2_498","ID_0599100010053195",11.819849967956543,"SERIS_stn104.cal","Batch-1_zonder_textures","B-1_2_"
"B-1_2_LoD0_LoD1_LoD2_500","ID_0599100010065545",14.778166770935059,"SERIS_stn104.cal","Batch-1_zonder_textures","B-1_2_"
"B-1_2_LoD0_LoD1_LoD2_501","ID_0599100010069898",1582.40185546875,"SERIS_stn104.cal","Batch-1_zonder_textures","B-1_2_"
"B-1_2_LoD0_LoD1_LoD2_502","ID_0599100010073460",411.8258972167969,"SERIS_stn104.cal","Batch-1_zonder_textures","B-1_2_"
"B-1_2_LoD0_LoD1_LoD2_509","ID_0599100010008556",898.2252807617188,"SERIS_stn104.cal","Batch-1_zonder_textures","B-1_2_"
"B-1_2_LoD0_LoD1_LoD2_512","ID_0599100010071256",135.3299560546875,"SERIS_stn104.cal","Batch-1_zonder_textures","B-1_2_"
"B-1_2_LoD0_LoD1_LoD2_516","ID_0599100000194019",329.5032958984375,"SERIS_stn104.cal","Batch-1_zonder_textures","B-1_2_"
"B-1_2_LoD0_LoD1_LoD2_518","ID_0599100000217247",302.9903564453125,"SERIS_stn104.cal","Batch-1_zonder_textures","B-1_2_"
"B-1_2_LoD0_LoD1_LoD2_522","ID_0599100000602217",1475.9505615234375,"SERIS_stn104.cal","Batch-1_zonder_textures","B-1_2_"
"B-1_2_LoD0_LoD1_LoD2_528","ID_0599100000756974",91.20659637451172,"SERIS_stn104.cal","Batch-1_zonder_textures","B-1_2_"
"B-1_2_LoD0_LoD1_LoD2_529","ID_0599100000759675",5667.12353515625,"SERIS_stn104.cal","Batch-1_zonder_textures","B-1_2_"
"B-1_2_LoD0_LoD1_LoD2_530","ID_0599100000626572",4239.3974609375,"SERIS_stn104.cal","Batch-1_zonder_textures","B-1_2_"
"B-1_2_LoD0_LoD1_LoD2_532","ID_0599100000700736",2427.526123046875,"SERIS_stn104.cal","Batch-1_zonder_textures","B-1_2_"
"B-1_2_LoD0_LoD1_LoD2_535","ID_0599100000750321",2570.54541015625,"SERIS_stn104.cal","Batch-1_zonder_textures","B-1_2_"
"B-1_2_LoD0_LoD1_LoD2_537","ID_0599100000759681",484.4421081542969,"SERIS_stn104.cal","Batch-1_zonder_textures","B-1_2_"
"B-1_2_LoD0_LoD1_LoD2_542","ID_0599100010006298",35.24150085449219,"SERIS_stn104.cal","Batch-1_zonder_textures","B-1_2_"
"B-1_2_LoD0_LoD1_LoD2_543","ID_0599100010010824",80.87726593017578,"SERIS_stn104.cal","Batch-1_zonder_textures","B-1_2_"
"B-1_2_LoD0_LoD1_LoD2_544","ID_0599100000759693",2452.65576171875,"SERIS_stn104.cal","Batch-1_zonder_textures","B-1_2_"
"B-1_2_LoD0_LoD1_LoD2_546","ID_0599100010015382",20.341064453125,"SERIS_stn104.cal","Batch-1_zonder_textures","B-1_2_"
"B-1_2_LoD0_LoD1_LoD2_547","ID_0599100010016153",100.74352264404297,"SERIS_stn104.cal","Batch-1_zonder_textures","B-1_2_"
"B-1_2_LoD0_LoD1_LoD2_548","ID_0599100010024122",273.5047302246094,"SERIS_stn104.cal","Batch-1_zonder_textures","B-1_2_"
"B-1_2_LoD0_LoD1_LoD2_549","ID_0599100010024471",81.73161315917969,"SERIS_stn104.cal","Batch-1_zonder_textures","B-1_2_"
"B-1_2_LoD0_LoD1_LoD2_559","ID_0599100010037783",28.912126541137695,"SERIS_stn104.cal","Batch-1_zonder_textures","B-1_2_"
"B-1_2_LoD0_LoD1_LoD2_562","ID_0599100010051552",53.46968460083008,"SERIS_stn104.cal","Batch-1_zonder_textures","B-1_2_"
"B-1_2_LoD0_LoD1_LoD2_563","ID_0599100010051573",138.02122497558594,"SERIS_stn104.cal","Batch-1_zonder_textures","B-1_2_"
"B-1_2_LoD0_LoD1_LoD2_564","ID_0599100010052643",149.29592895507812,"SERIS_stn104.cal","Batch-1_zonder_textures","B-1_2_"
"B-1_2_LoD0_LoD1_LoD2_565","ID_0599100010056857",14.895917892456055,"SERIS_stn104.cal","Batch-1_zonder_textures","B-1_2_"
"B-1_2_LoD0_LoD1_LoD2_566","ID_0599100010053610",45.4081916809082,"SERIS_stn104.cal","Batch-1_zonder_textures","B-1_2_"
"B-1_2_LoD0_LoD1_LoD2_567","ID_0599100010059029",63.67311096191406,"SERIS_stn104.cal","Batch-1_zonder_textures","B-1_2_"
"B-1_2_LoD0_LoD1_LoD2_568","ID_0599100010059183",185.41221618652344,"SERIS_stn104.cal","Batch-1_zonder_textures","B-1_2_"
"B-1_2_LoD0_LoD1_LoD2_573","ID_0599100010068335",56.8226203918457,"SERIS_stn104.cal","Batch-1_zonder_textures","B-1_2_"
"B-1_2_LoD0_LoD1_LoD2_579","ID_0599100010002736",69.33604431152344,"SERIS_stn104.cal","Batch-1_zonder_textures","B-1_2_"
"B-1_2_LoD0_LoD1_LoD2_586","ID_0599100010064602",1030.6025390625,"SERIS_stn104.cal","Batch-1_zonder_textures","B-1_2_"
"B-1_2_LoD0_LoD1_LoD2_587","ID_0599100010070640",75.33441925048828,"SERIS_stn104.cal","Batch-1_zonder_textures","B-1_2_"
"B-1_2_LoD0_LoD1_LoD2_588","ID_0599100010074437",105.67986297607422,"SERIS_stn104.cal","Batch-1_zonder_textures","B-1_2_"
"B-1_2_LoD0_LoD1_LoD2_589","ID_0599100100001726",1122.39306640625,"SERIS_stn104.cal","Batch-1_zonder_textures","B-1_2_"
"B-1_2_LoD0_LoD1_LoD2_598","ID_0599100100005626",49379.98828125,"SERIS_stn104.cal","Batch-1_zonder_textures","B-1_2_"
"B-1_2_LoD0_LoD1_LoD2_599","ID_0599100100010844",6674.73193359375,"SERIS_stn104.cal","Batch-1_zonder_textures","B-1_2_"
"B-1_2_LoD0_LoD1_LoD2_602","ID_0599100100007477",24087.47265625,"SERIS_stn104.cal","Batch-1_zonder_textures","B-1_2_"
"B-1_2_LoD0_LoD1_LoD2_604","ID_0599100100006049",18348.025390625,"SERIS_stn104.cal","Batch-1_zonder_textures","B-1_2_"
"B-1_2_LoD0_LoD1_LoD2_605","ID_0599100000215903",426.8021545410156,"SERIS_stn104.cal","Batch-1_zonder_textures","B-1_2_"
